original_path,new_path,brand,model,series,category,tag,width,height,aspect_ratio,score,sha1
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632233_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_15.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,f7756704949c66b2bc8e22eb6e74ae2cb9db59e6
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632255_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_16.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,c1df189ff9a08666e2ff69b99b6218c65d3a1d4a
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632428_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_17.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,be77944c95392e351a89fc6d8e9b2d7771e89d5c
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632251_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_18.jpg,BMW,i3,Neue Klasse,exterior,cover,8021,5350,1.4993,3,c00fdf22e792b6a10d4572a6d327001c1719bea1
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632238_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/detail/bmw_i3_detail_front_04.jpg,BMW,i3,Neue Klasse,detail,front,5464,8192,0.667,2,42f337f0c4e9bfa32d04ec42b98e0ec0fc448910
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632249_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_19.jpg,BMW,i3,Neue Klasse,exterior,cover,8021,5350,1.4993,3,5bef48c3cdc804f32c5c2640577b286b101dce40
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632256_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_20.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,3,667b7718a0717c28207cb5a04db9af58fe4c83e1
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632554_highRes_bmw-i3-rim.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/detail/bmw_i3_detail_front_05.jpg,BMW,i3,Neue Klasse,detail,front,7000,4666,1.5002,11,dd6829fadfd2191a1f36566b3ddf6e450b4d4a5d
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632252_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_21.jpg,BMW,i3,Neue Klasse,exterior,cover,7485,4992,1.4994,3,deb416f731e54303f29b224557debeb84297f827
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632245_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_22.jpg,BMW,i3,Neue Klasse,exterior,cover,8192,5464,1.4993,23,4cdbcc318fca0c6055058d0cbcb644d6b0726d51
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632414_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_23.jpg,BMW,i3,Neue Klasse,exterior,cover,7628,5088,1.4992,3,f4a923f1ba210d324aa52f0065f10638a5fb56dc
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632241_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_24.jpg,BMW,i3,Neue Klasse,exterior,cover,8021,5350,1.4993,3,aae9d00af6b48732a9be7555f25daff0f2913ec1
/Users/csc/Downloads/neue-garage-autopilot/assets/inbox/P90632230_highRes_the-new-bmw-i3-50-xd.jpg,/Users/csc/Downloads/neue-garage-autopilot/assets/library/bmw/i3/exterior/bmw_i3_exterior_cover_25.jpg,BMW,i3,Neue Klasse,exterior,cover,6868,4581,1.4992,3,3d81986d0e8d309ac8422839577ea2dff8d41885
